Nom,UOOrigine,Origine,UOCible,Cible,type,Chef de projet,Technicien,Autre,Manager,Externe,Consultant
Abelewy,14022900,ABC,14022900,ABC,Manager,,,,1,,
Ablosia,14022900,ABC,14022900,ABC,Technicien,0,1,0,0,0,0
Adair,14022900,ABC,14022900,ABC,Autre,0,0,1,0,0,0
Adani,14022900,ABC,14022900,ABC,Externe,0,0,0,0,1,0
Advoc,14022900,ABC,14022900,ABC,Chef de projet,1,0,0,0,0,0
Aebjorn,14022900,ABC,14022900,ABC,Chef de projet,1,0,0,0,0,0
Aecchimnaili,13630870,FCD,13630870,FCD,Externe,0,0,0,0,1,0
Aegelorakin,13630870,FCD,13630870,FCD,Externe,0,0,0,0,1,0
Aelhear,14022900,ABC,14022900,ABC,Technicien,0,1,0,0,0,0
Aetmarrann,13630870,FCD,13630870,FCD,Externe,0,0,0,0,1,0
Afridwynnen,13630870,FCD,13630870,FCD,Externe,0,0,0,0,1,0
Agryffesth,13731167,FCD,13731167,FCD,Manager,0,0,0,1,0,0
Aibhildede,13731167,FCD,13731167,FCD,Chef de projet,1,0,0,0,0,0
Aibhlindor,13731167,FCD,13731167,FCD,Chef de projet,1,0,0,0,0,0
Aiglussa,14022900,ABC,14022900,ABC,Externe,0,0,0,0,1,0
Aillaugrimar,13731167,FCD,13731167,FCD,Chef de projet,1,0,0,0,0,0
Ailpink,14022900,ABC,13934684,HDT,Chef de projet,1,0,0,0,0,0
Airthianes,13731167,FCD,13731167,FCD,Externe,0,0,0,0,1,0
Aissenthek,13731167,FCD,13731167,FCD,Externe,0,0,0,0,1,0
Aladall,14022900,ABC,14022900,ABC,Technicien,0,1,0,0,0,0
Aladrimiril,13731167,FCD,13731167,FCD,Externe,0,0,0,0,1,0
Alanvidach,13731167,FCD,13731167,FCD,Chef de projet,1,0,0,0,0,0
Alarranz,14022900,ABC,14022900,ABC,Autre,0,0,1,0,0,0
Albadhaidh,13731167,FCD,13731167,FCD,Externe,0,0,0,0,1,0
Albard,14022900,ABC,14022900,ABC,Externe,0,0,0,0,1,0
Alberel,13934684,HDT,13934684,HDT,Manager,0,0,0,1,0,0
Aletheelen,13934684,HDT,13934684,HDT,Autre,0,0,1,0,0,0
Alfal,13934684,HDT,13934684,HDT,Autre,0,0,1,0,0,0
